uniprot_id,gene_name,recommendedName,pdb_id,ligand_code,ligand_name,smiles,formula,mw,qed,num_carbon,num_N_O,uniprot_id_count
O00291,HIP1,Huntingtin-interacting protein 1,2NO2,,,,,,,,,
O00291,HIP1,Huntingtin-interacting protein 1,2QA7,,,,,,,,,
O00291,HIP1,Huntingtin-interacting protein 1,3I00,,,,,,,,,
O00220,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,5CIR,,,,,,,,,
O00161,SNAP23,Synaptosomal-associated protein 23,1NHL,,,,,,,,,
O00161,SNAP23,Synaptosomal-associated protein 23,3ZUS,,,,,,,,,
O00305,CACNB4,Voltage-dependent L-type calcium channel subunit beta-4,2D46,,,,,,,,,
O00548,DLL1,Delta-like protein 1,4XBM,FUC,alpha-L-fucopyranose,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O,C6H12O5,164.068473484,0.32621578128889733,6.0,5.0,12.0
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,2KT1,,,,,,,,,
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,2XS6,,,,,,,,,
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,3MTT,,,,,,,,,
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,3O5Z,MPD,"(4S)-2-METHYL-2,4-PENTANEDIOL",C[C@@H](CC(C)(C)O)O,C6H14O2,118.099379688,0.5548951576761242,6.0,2.0,35.0
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,6OX7,,,,,,,,,
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,6U28,,,,,,,,,
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,7RCH,,,,,,,,,
O00459,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,7RNU,,,,,,,,,
O00483,NDUFA4,Cytochrome c oxidase subunit FA4,5Z62,CDL,CARDIOLIPIN,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC(COP(=O)([O-])OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)O)OC(=O)CCCCCCCCCCCCCCCCC,C81H156O17P2-2,1463.0828739518197,0.02574341470103293,81.0,17.0,10.0
O00591,GABRP,Gamma-aminobutyric acid receptor subunit pi,8VSZ,,,,,,,,,
O00591,GABRP,Gamma-aminobutyric acid receptor subunit pi,8VV0,ABU,GAMMA-AMINO-BUTANOIC ACID,C(CC(=O)O)CN,C4H9NO2,103.063328528,0.520009216360191,4.0,3.0,7.0
O00187,MASP2,Mannan-binding lectin serine protease 2,1Q3X,,,,,,,,,
O00187,MASP2,Mannan-binding lectin serine protease 2,1SZB,,,,,,,,,
O00187,MASP2,Mannan-binding lectin serine protease 2,1ZJK,,,,,,,,,
O00187,MASP2,Mannan-binding lectin serine protease 2,3TVJ,,,,,,,,,
O00187,MASP2,Mannan-binding lectin serine protease 2,5JPM,,,,,,,,,
O00187,MASP2,Mannan-binding lectin serine protease 2,7PQN,,,,,,,,,
O00187,MASP2,Mannan-binding lectin serine protease 2,9D17,A1A1X,"2-(2-amino-1H-1,3-benzimidazol-1-yl)-N-(5-ethylpyridin-2-yl)acetamide",CCc1ccc(nc1)NC(=O)Cn2c3ccccc3nc2N,C16H17N5O,295.14331016400007,0.7724218023226941,16.0,6.0,1.0
