label,protein_name,uniprot_id
A,NRF2,Q16236
A,SOX2,P48431
A,DNp63,Q9H3D4
A,NKX2-1,P43699
A,ASCL1,P50553
A,SMAD4,Q13485
A,CTNNB1,P35222
A,TCF7L2,Q9NQB0
A,KLF5,Q13887
A,FOXA1,P55317
A,GATA3,P23771
A,TRP51,Q9UHF7
A,ARv7,P10275
A,ERG,P11308
A,Myc,P01106
A,p53,P04637
M,DCAF1,Q9Y4B6
M,TRIM21,P19474
M,KLHDC2,Q9Y2U9
M,FLI1,Q01543
M,TRIM8,Q9BZR9
M,PAX8,Q06710
M,TDP43,Q13148
M,SOD1,P00441
M,DUX4,Q9UBX2
M,mut HTT,P42858
M,FUS,P35637
M,ATXN3,P54252
M,PRAME,P78395
M,STAG1,Q8WVM7
M,PELO,Q9BRX2
M,ASCL1,P50553
M,MYOD1,P15172
M,TCF7L2,Q6FHW4
M,TIMM17A,Q99595
M,NXT1,Q9UKK6
M,KIDINS220,Q9ULH0
M,aSyn,P37840
M,MAVS,Q7Z434
M,ASC,Q9ULZ3
M,ZBP1,Q9H171
M,TAF15,Q16514
