label,protein_name,uniprot_id,pdb_id,ligand_code,ligand_name,smiles,formula,mw,num_carbon
A,NRF2,Q16236,7X5E,P6G,HEXAETHYLENE GLYCOL,C(COCCOCCOCCOCCOCCO)O,C12H26O7,282.16785317200004,12
A,DNp63,Q9H3D4,4A9Z,PE4,2-{2-[2-(2-{2-[2-(2-ETHOXY-ETHOXY)-ETHOXY]-ETHOXY}-ETHOXY)-ETHOXY]-ETHOXY}-ETHANOL,CCOCCOCCOCCOCCOCCOCCOCCO,C16H34O8,354.22536804799995,16
A,DNp63,Q9H3D4,6RU6,ACP,PHOSPHOMETHYLPHOSPHONIC ACID ADENYLATE ESTER,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(CP(=O)(O)O)O)O)O)N,C11H18N5O12P3,505.01648090599986,11
A,CTNNB1,P35222,6M90,J91,"2-(2-fluorophenoxy)-3-{[2-oxo-6-(trifluoromethyl)-1,2-dihydropyridine-3-carbonyl]amino}benzoic acid",c1ccc(c(c1)Oc2c(cccc2NC(=O)C3=CC=C(NC3=O)C(F)(F)F)C(=O)O)F,C20H12F4N2O5,436.0682343639999,20
A,CTNNB1,P35222,6M91,J97,"3-({4-[(2,6-dichlorophenyl)sulfanyl]-2-oxo-6-(trifluoromethyl)-1,2-dihydropyridine-3-carbonyl}amino)benzoic acid",c1cc(cc(c1)NC(=O)C2=C(C=C(NC2=O)C(F)(F)F)Sc3c(cccc3Cl)Cl)C(=O)O,C20H11Cl2F3N2O4S,501.976867852,20
A,CTNNB1,P35222,6M92,J8V,"3-{[2-oxo-4-phenoxy-6-(trifluoromethyl)-1,2-dihydropyridine-3-carbonyl]amino}benzoic acid",c1ccc(cc1)OC2=C(C(=O)NC(=C2)C(F)(F)F)C(=O)Nc3cccc(c3)C(=O)O,C20H13F3N2O5,418.077656176,20
A,CTNNB1,P35222,6M93,J8Y,"2-oxo-N-[3-(1H-tetrazol-5-yl)phenyl]-6-(trifluoromethyl)-1,2-dihydropyridine-3-carboxamide",c1cc(cc(c1)NC(=O)C2=CC=C(NC2=O)C(F)(F)F)c3[nH]nnn3,C14H9F3N6O2,350.07390818800013,14
A,CTNNB1,P35222,7AFW,R9Q,"3-[(2~{R})-4-methyl-5-oxidanylidene-2,3-dihydro-1,4-benzoxazepin-2-yl]benzenecarbonitrile",CN1C[C@H](Oc2ccccc2C1=O)c3cccc(c3)C#N,C17H14N2O2,278.105527688,17
A,CTNNB1,P35222,7UWO,WHL,"N,N'-(1,4-phenylene)diacetamide",CC(=O)Nc1ccc(cc1)NC(=O)C,C10H12N2O2,192.089877624,10
A,CTNNB1,P35222,7ZRB,JKI,4-bromanyl-~{N}-(3-pyridin-2-ylphenyl)benzenesulfonamide,c1ccnc(c1)c2cccc(c2)NS(=O)(=O)c3ccc(cc3)Br,C17H13BrN2O2S,387.9881107560001,17
A,CTNNB1,P35222,8EI9,WHL,"N,N'-(1,4-phenylene)diacetamide",CC(=O)Nc1ccc(cc1)NC(=O)C,C10H12N2O2,192.089877624,10
A,CTNNB1,P35222,8EIA,WHL,"N,N'-(1,4-phenylene)diacetamide",CC(=O)Nc1ccc(cc1)NC(=O)C,C10H12N2O2,192.089877624,10
A,CTNNB1,P35222,8EIB,WHL,"N,N'-(1,4-phenylene)diacetamide",CC(=O)Nc1ccc(cc1)NC(=O)C,C10H12N2O2,192.089877624,10
A,CTNNB1,P35222,8EIC,WHL,"N,N'-(1,4-phenylene)diacetamide",CC(=O)Nc1ccc(cc1)NC(=O)C,C10H12N2O2,192.089877624,10
A,CTNNB1,P35222,8RU4,GLC,alpha-D-glucopyranose,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,C6H12O6,180.063388104,6
